Ezor_Lahatz,Year,Month,Phat_Clali
3-110,2022,1,0
3-110,2022,2,0
3-110,2022,3,0
3-110,2022,4,0
3-110,2022,5,0
3-110,2022,6,0
3-110,2022,7,0
3-110,2022,8,0
3-110,2022,9,0
3-110,2022,10,0
3-110,2022,11,0
3-110,2022,12,0
3-110,2023,1,0
3-110,2023,2,0
3-110,2023,3,0
3-110,2023,4,0
3-110,2023,5,0
3-110,2023,6,0
3-110,2023,7,0
3-110,2023,8,0
3-110,2023,9,0
3-110,2023,10,0
3-110,2023,11,0
3-110,2023,12,0
3-110,2024,1,0
3-110,2024,2,0
3-110,2024,3,0
3-110,2024,4,0
3-120,2022,1,3223
3-120,2022,2,45148
3-120,2022,3,30532
3-120,2022,4,116454
3-120,2022,5,179675
3-120,2022,6,117861
3-120,2022,7,83589
3-120,2022,8,23
3-120,2022,9,-120820
3-120,20...